Job,Task Characteristic,Column,Value
Manufacturing Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Mechatronics Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Budget Analysts,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Judges, Magistrate Judges, and Magistrates",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Anesthesiologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Service Unit Operators, Oil and Gas",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Transportation Inspectors,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Web Administrators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Audiologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Boilermakers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Buyers and Purchasing Agents, Farm Products",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
First-Line Supervisors of Housekeeping and Janitorial Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Photographic Process Workers and Processing Machine Operators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,6
Music Therapists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Medical Secretaries and Administrative Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Automotive Body and Related Repairers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
First-Line Supervisors of Production and Operating Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Occupational Therapy Aides,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Operating Engineers and Other Construction Equipment Operators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,6
Chemical Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Biofuels/Biodiesel Technology and Product Development Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Food Scientists and Technologists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Water Resource Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Communications Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Remote Sensing Scientists and Technologists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Energy Engineers, Except Wind and Solar",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Payroll and Timekeeping Clerks,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Education and Childcare Administrators, Preschool and Daycare",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Veterinary Technologists and Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Industrial Production Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"News Analysts, Reporters, and Journalists",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Computer Numerically Controlled Tool Programmers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Chemists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Data Entry Keyers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Historians,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Prosthodontists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Title Examiners, Abstractors, and Searchers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Weatherization Installers and Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Wellhead Pumpers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Environmental Science and Protection Technicians, Including Health",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Model Makers, Wood",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Credit Authorizers, Checkers, and Clerks",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Electricians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Tank Car, Truck, and Ship Loaders",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Carpenters,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Hydrologists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Lawyers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Occupational Health and Safety Technicians,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Compensation and Benefits Managers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Software Quality Assurance Analysts and Testers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Agents and Business Managers of Artists, Performers, and Athletes",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"History Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Librarians and Media Collections Specialists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Music Directors and Composers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Political Science Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Operations Research Analysts,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Ophthalmologists, Except Pediatric",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Social Science Research Assistants,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Administrative Law Judges, Adjudicators, and Hearing Officers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Document Management Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Park Naturalists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Semiconductor Processing Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Orthodontists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Brickmasons and Blockmasons,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Sound Engineering Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Agricultural Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Parts Salespersons,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Pharmacists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Biological Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Radiologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Dermatologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
File Clerks,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Real Estate Brokers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Sewers, Hand",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Customs Brokers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Environmental Compliance Inspectors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Audiovisual Equipment Installers and Repairers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Compliance Officers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Private Detectives and Investigators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Cytogenetic Technologists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
"Meat, Poultry, and Fish Cutters and Trimmers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Tire Builders,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,6
"Philosophy and Religion Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Sociologists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
First-Line Supervisors of Non-Retail Sales Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Computer Systems Analysts,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Geographic Information Systems Technologists and Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Industrial Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Computer User Support Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Microsystems Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Robotics Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Computer Network Support Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Craft Artists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Precision Agriculture Technicians,Work Scheduling Autonomy,Work Activities - Mental Processes,5
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Broadcast Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Chiropractors,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Conservation Scientists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Control and Valve Installers and Repairers, Except Mechanical Door",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Customer Service Representatives,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Surgical Technologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Wind Energy Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Veterinary Assistants and Laboratory Animal Caretakers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Electronic Equipment Installers and Repairers, Motor Vehicles",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Court Reporters and Simultaneous Captioners,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Cartographers and Photogrammetrists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Prepress Technicians and Workers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Dental Laboratory Technicians,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
"Economics Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Floral Designers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Telecommunications Equipment Installers and Repairers, Except Line Installers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,6
Medical Transcriptionists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Cooks, Institution and Cafeteria",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
